title                                                                                                                          ,link                                                                                                                     ,category      ,processed_title                                                                                      ,category_label
Why Heisman Trophy winner Travis Hunter is ‘two players in one’ and such a rare talent in college football                     ,https://edition.cnn.com/2024/12/15/sport/travis-hunter-heisman-trophy-college-football-spt-intl/index.html               ,Sports        ,heisman trophi winner travi hunter two player one rare talent colleg footbal                         ,             0
Saudi Arabia officially announced as the 2034 World Cup host. Human rights groups warn of ‘unimaginable human cost’            ,https://edition.cnn.com/2024/12/11/sport/saudi-arabia-2034-world-cup-fifa-bid-spt-intl/index.html                        ,Sports        ,saudi arabia offici announc world cup host human right group warn unimagin human cost                ,             0
Jayden Daniels: The NFL’s No. 2 overall pick is showing the league that he’s much more than a consolation prize                ,https://edition.cnn.com/2024/12/21/sport/jayden-daniels-washington-commanders-profile-spt-intl/index.html                ,Sports        ,jayden daniel nfl overal pick show leagu he much consol prize                                        ,             0
"Meet Roki Sasaki, MLB’s next free agent superstar"                                                                            ,https://edition.cnn.com/2024/12/16/sport/roki-sasaki-free-agent-spt-intl/index.html                                      ,Sports        ,meet roki sasaki mlb next free agent superstar                                                       ,             0
From $245 million bust to Super Bowl contender again: the redemption arc of ‘Mr. Unlimited’ Russell Wilson                     ,https://edition.cnn.com/2024/12/14/sport/russell-wilson-pittsburgh-steelers-redemption-spt-intl/index.html               ,Sports        ,million bust super bowl contend redempt arc mr unlimit russel wilson                                 ,             0
Can the sporty be Godly? Why the Vatican is in the race to become a global sporting presence                                   ,https://edition.cnn.com/2024/11/20/sport/rien-schuurhuis-vatican-cycling-spt-intl/index.html                             ,Sports        ,sporti godli vatican race becom global sport presenc                                                 ,             0
"Lily Yohannes: The 17-year-old star of the US women’s team, by those who know her best"                                       ,https://edition.cnn.com/2024/12/04/sport/lily-yohannes-uswnt-teenage-star-spt-intl/index.html                            ,Sports        ,lili yohann yearold star u women team know best                                                      ,             0
Why James Cook is the NFL’s best running back you haven’t heard of                                                             ,https://edition.cnn.com/2024/12/27/sport/james-cook-bills-best-running-back-spt/index.html                               ,Sports        ,jame cook nfl best run back havent heard                                                             ,             0
Lindsey Vonn set to return to competitive skiing                                                                               ,https://edition.cnn.com/2024/12/19/sport/video/vonn-rebensburg-skiing-cnni-sports-fast                                   ,Sports        ,lindsey vonn set return competit ski                                                                 ,             0
Lewandowski chimes in on former manager Guardiola’s woes                                                                       ,https://edition.cnn.com/2024/12/17/sport/video/lewandowski-guardiola-cnni-sports-fast                                    ,Sports        ,lewandowski chime former manag guardiola woe                                                         ,             0
Scottie Scheffler looks to put a bow on stellar year                                                                           ,https://edition.cnn.com/2024/12/16/sport/video/scheffler-riddell-showdown-cnni-sports-fast-1216                          ,Sports        ,scotti scheffler look put bow stellar year                                                           ,             0
"Lewis Hamilton fulfills childhood dream, pilots fighter jet"                                                                  ,https://edition.cnn.com/2024/11/29/sport/video/hamilton-hosseini-f1-pilot-cnni-sports-fast                               ,Sports        ,lewi hamilton fulfil childhood dream pilot fighter jet                                               ,             0
Sinner & Alcaraz spearheading tennis’ charge into a new era                                                                    ,https://edition.cnn.com/2024/11/12/sport/video/sinner-alcaraz-tennis-atp-cnni-sports-fast                                ,Sports        ,sinner alcaraz spearhead tenni charg new era                                                         ,             0
‘He’s not a dad’: Trinity Rodman on strained relationship with Dennis Rodman                                                   ,https://edition.cnn.com/2024/12/18/sport/video/alex-cooper-trinity-dennis-rodman-call-her-daddy-podcast-digvid           ,Sports        ,he dad triniti rodman strain relationship denni rodman                                               ,             0
Mystics owner Sheila Johnson says WNBA’s success goes beyond Caitlin Clark                                                     ,https://edition.cnn.com/2024/12/13/sport/video/wnba-clark-johnson-davies-cnni-sports-fast                                ,Sports        ,mystic owner sheila johnson say wnba success go beyond caitlin clark                                 ,             0
China sentences former Premier League soccer star to 20 years in prison for corruption                                         ,https://edition.cnn.com/2024/12/13/sport/video/china-everton-corruption-tie-cnni-sports-fast                             ,Sports        ,china sentenc former premier leagu soccer star year prison corrupt                                   ,             0
Does Simone Biles have any more gravity-defying firsts up her sleeve?                                                          ,https://edition.cnn.com/2024/11/01/sport/video/simone-biles-mind-blowing-spc-spt                                         ,Sports        ,simon bile gravitydefi first sleev                                                                   ,             0
South Korean Olympian Kim Yeji shoots her way to stardom                                                                       ,https://edition.cnn.com/2024/10/11/sport/video/south-korea-yeji-olympics-cnni-sports-fast                                ,Sports        ,south korean olympian kim yeji shoot way stardom                                                     ,             0
Vinícius Jr. exclusive: Real Madrid squad will walk off the pitch in face of racist abuse                                      ,https://edition.cnn.com/2024/08/28/sport/video/vinicius-jr-racism-real-madrid-spain-spt-intl                             ,Sports        ,vinciu jr exclus real madrid squad walk pitch face racist abus                                       ,             0
Christmas dinner injury forces golf’s World No. 1 Scottie Scheffler to miss PGA Tour season opener                             ,https://edition.cnn.com/2024/12/27/sport/scottie-scheffler-injury-christmas-dinner-spt/index.html                        ,Sports        ,christma dinner injuri forc golf world scotti scheffler miss pga tour season open                    ,             0
Tiger Woods and son Charlie shine at PNC Championship in Woods’ return to competition                                          ,https://edition.cnn.com/2024/12/21/sport/tiger-woods-son-pnc-championship-spt/index.html                                 ,Sports        ,tiger wood son charli shine pnc championship wood return competit                                    ,             0
The Showdown: Rory McIlroy and Scottie Scheffler cruise to $10M crypto prize                                                   ,https://edition.cnn.com/2024/12/18/sport/showdown-mcilroy-scheffler-pga-liv-golf-spt/index.html                          ,Sports        ,showdown rori mcilroy scotti scheffler cruis crypto prize                                            ,             0
Tiger Woods to compete for first time since back surgery at PNC Championship with son                                          ,https://edition.cnn.com/2024/12/10/sport/tiger-and-charlie-woods-compete-pnc-championship-spt/index.html                 ,Sports        ,tiger wood compet first time sinc back surgeri pnc championship son                                  ,             0
Cristiano Ronaldo backs Manchester City and Real Madrid to return to former glory                                              ,https://edition.cnn.com/2024/12/27/sport/cristiano-ronaldo-globe-soccer-manchester-city-real-madrid-spt/index.html       ,Sports        ,cristiano ronaldo back manchest citi real madrid return former glori                                 ,             0
How Manchester City slumped from all-conquering champion to its worst run of form in 18 years                                  ,https://edition.cnn.com/2024/12/23/sport/manchester-city-aston-villa-spt-intl/index.html                                 ,Sports        ,manchest citi slump allconqu champion worst run form year                                            ,             0
Netflix purchases US broadcasting rights for next two FIFA Women’s World Cups                                                  ,https://edition.cnn.com/2024/12/20/sport/netflix-broadcast-rights-fifa-womens-world-cup-spt/index.html                   ,Sports        ,netflix purchas u broadcast right next two fifa women world cup                                      ,             0
Two-time World Cup winner and former USWNT captain Becky Sauerbrunn announces her retirement                                   ,https://edition.cnn.com/2024/12/18/sport/becky-sauerbrunn-retirement-uswnt-spt/index.html                                ,Sports        ,twotim world cup winner former uswnt captain becki sauerbrunn announc retir                          ,             0
‘Special Ks’ set to reunite for doubles at the Australian Open                                                                 ,https://edition.cnn.com/2024/12/13/sport/nick-kyrgios-thanasi-kokkinakis-australian-open-spt-intl/index.html             ,Sports        ,special k set reunit doubl australian open                                                           ,             0
Australian tennis icon Neale Fraser dies at 91                                                                                 ,https://edition.cnn.com/2024/12/03/sport/neale-fraser-dies-australia-tennis-spt/index.html                               ,Sports        ,australian tenni icon neal fraser dy                                                                 ,             0
Former tennis world No. 1 Simona Halep questions ‘big difference in treatment’ for doping violation compared to Iga Świątek    ,https://edition.cnn.com/2024/11/29/sport/simona-halep-doping-iga-swiatek-tennis-spt-intl/index.html                      ,Sports        ,former tenni world simona halep question big differ treatment dope violat compar iga witek           ,             0
Five-time grand slam winner Iga Świątek suspended after testing positive for prohibited substance                              ,https://edition.cnn.com/2024/11/28/sport/iga-swiatek-substance-ban-tennis-intl-spt/index.html                            ,Sports        ,fivetim grand slam winner iga witek suspend test posit prohibit substanc                             ,             0
NBA suspends three players involved in altercation between Mavericks and Suns                                                  ,https://edition.cnn.com/2024/12/28/sport/nba-suspends-mavericks-and-suns-spt/index.html                                  ,Sports        ,nba suspend three player involv alterc maverick sun                                                  ,             0
Sacramento Kings fire head coach Mike Brown amid early season struggles                                                        ,https://edition.cnn.com/2024/12/27/sport/sacramento-kings-mike-brown-spt/index.html                                      ,Sports        ,sacramento king fire head coach mike brown amid earli season struggl                                 ,             0
California appeals court overturns ex-NFL star Dana Stubblefield’s rape conviction                                             ,https://edition.cnn.com/2024/12/27/sport/dana-stubblefield-rape-conviction-overturned-spt-intl/index.html                ,Sports        ,california appeal court overturn exnfl star dana stubblefield rape convict                           ,             0
Lindsey Vonn thinks her new titanium knee could start a trend in skiing. And pro sports in general                             ,https://edition.cnn.com/2024/12/25/sport/lindsey-vonn-titanium-knee-trend-hnk/index.html                                 ,Sports        ,lindsey vonn think new titanium knee could start trend ski pro sport gener                           ,             0
The best photos from the 2024 NFL season                                                                                       ,https://edition.cnn.com/2024/09/09/sport/gallery/nfl-2024-season/index.html                                              ,Sports        ,best photo nfl season                                                                                ,             0
The best photos from the 2024 World Series                                                                                     ,https://edition.cnn.com/2024/10/25/sport/gallery/world-series-dodgers-yankees/index.html                                 ,Sports        ,best photo world seri                                                                                ,             0
"These athletes suffered life-changing injuries. Then, they turned to psychedelics"                                            ,https://edition.cnn.com/2024/02/19/sport/psilocybin-athletes-life-changing-injuries-psychedelics-spt-intl/index.html     ,Sports        ,athlet suffer lifechang injuri turn psychedel                                                        ,             0
A doping free-for-all Enhanced Games calls itself the answer to doping in sports. Opponents say it poses a danger to health    ,https://edition.cnn.com/2023/10/30/sport/enhanced-games-olympics-doping-spt-intl/index.html                              ,Sports        ,dope freeforal enhanc game call answer dope sport oppon say pose danger health                       ,             0
These young female athletes died by suicide. They all had head injuries in common                                              ,https://edition.cnn.com/2023/02/05/sport/head-injury-suicide-female-athletes-intl-spt-cmd/index.html                     ,Sports        ,young femal athlet die suicid head injuri common                                                     ,             0
Saudi Arabia is trying to disrupt soccer’s world order. The reasons why might surprise you                                     ,https://edition.cnn.com/2023/09/20/sport/saudi-arabia-soccer-spl-bin-salman-intl-spt-cmd-dg/index.html                   ,Sports        ,saudi arabia tri disrupt soccer world order reason might surpris                                     ,             0
‘Money excuse must stop’: Thibaut Courtois urges soccer to use NBA as reference point in calendar congestion crisis            ,https://edition.cnn.com/2024/12/31/sport/thibaut-courtois-calendar-congestion-real-madrid-spt/index.html                 ,Sports        ,money excus must stop thibaut courtoi urg soccer use nba refer point calendar congest crisi          ,             0
2024 NFL playoff picture: Who’s clinched and who is still fighting to reach the postseason after Week 17                       ,https://edition.cnn.com/2024/12/31/sport/nfl-playoff-picture-week-17-spt-intl/index.html                                 ,Sports        ,nfl playoff pictur who clinch still fight reach postseason week                                      ,             0
"Gabriela Dabrowski, who won an Olympic medal and the WTA Finals, reveals she played through breast cancer treatment in 2024"  ,https://edition.cnn.com/2024/12/31/sport/gabriela-dabrowski-played-through-breast-cancer-treatment-spt/index.html        ,Sports        ,gabriela dabrowski olymp medal wta final reveal play breast cancer treatment                         ,             0
College Football Playoff: The biggest names look ahead to the quarterfinals                                                    ,https://edition.cnn.com/2024/12/31/sport/college-football-playoff-quarterfinals-walkup-spt-intl/index.html               ,Sports        ,colleg footbal playoff biggest name look ahead quarterfin                                            ,             0
Magnus Carlsen to rejoin World Blitz Chess Championship after resolving jeans controversy                                      ,https://edition.cnn.com/2024/12/30/sport/magnus-carlsen-rejoin-chess-championships-spt/index.html                        ,Sports        ,magnu carlsen rejoin world blitz chess championship resolv jean controversi                          ,             0
Detroit Lions’ Monday Night Football win sets the stage for a historic Week 18 showdown                                        ,https://edition.cnn.com/2024/12/31/sport/detroit-lions-win-sets-up-historic-week-18-showdown-spt/index.html              ,Sports        ,detroit lion monday night footbal win set stage histor week showdown                                 ,             0
Five of the top viral moments in sport in 2024                                                                                 ,https://edition.cnn.com/2024/12/31/sport/sport-top-five-viral-moments-2024-spt/index.html                                ,Sports        ,five top viral moment sport                                                                          ,             0
The key to getting to (or winning) the Super Bowl: the No. 1 seed                                                              ,https://edition.cnn.com/2024/12/30/sport/nfl-super-bowl-win-secret-no1-seed-spt/index.html                               ,Sports        ,key get win super bowl seed                                                                          ,             0
Six former Florida State players suing coach Leonard Hamilton over failed NIL payments                                         ,https://edition.cnn.com/2024/12/30/sport/six-former-florida-state-players-suing-coach-leonard-hamilton-spt/index.html    ,Sports        ,six former florida state player su coach leonard hamilton fail nil payment                           ,             0
Washington Commanders safety Jeremy Reaves proposes to girlfriend after team reaches first playoff berth since 2020            ,https://edition.cnn.com/2024/12/30/sport/jayden-daniels-commanders-falcons-spt/index.html                                ,Sports        ,washington command safeti jeremi reav propos girlfriend team reach first playoff berth sinc          ,             0
Novak Djokovic: Coach Andy Murray ‘bringing a fresh look to my game’                                                           ,https://edition.cnn.com/2024/12/30/sport/novak-djokovic-andy-murray-coach-spt/index.html                                 ,Sports        ,novak djokov coach andi murray bring fresh look game                                                 ,             0
"Eagles’ Saquon Barkley reaches 2,000-yard milestone as Philadelphia clinches NFC East"                                        ,https://edition.cnn.com/2024/12/29/sport/philadelphia-eagles-saquon-barkley-2000-yards-milestone-spt/index.html          ,Sports        ,eagl saquon barkley reach yard mileston philadelphia clinch nfc east                                 ,             0
Paralympic medalists receive hundreds of thousands of dollars less than Olympic medalists                                      ,https://edition.cnn.com/2024/12/29/sport/paralympics-reward-disparity-olympics-2024-spt/index.html                       ,Sports        ,paralymp medalist receiv hundr thousand dollar less olymp medalist                                   ,             0
"NFL Week 17: Los Angeles Chargers secure playoff spot, Cincinnati Bengals keep season alive with wild overtime victory"       ,https://edition.cnn.com/2024/12/29/sport/nfl-week-17-saturday-wrap-spt-intl/index.html                                   ,Sports        ,nfl week lo angel charger secur playoff spot cincinnati bengal keep season aliv wild overtim victori ,             0
"Pop-Tarts Bowl lives up to hype once again, feeding memes and thrills in equal amounts"                                       ,https://edition.cnn.com/2024/12/28/sport/pop-tarts-bowl-miami-iowa-state-spt/index.html                                  ,Sports        ,poptart bowl life hype feed meme thrill equal amount                                                 ,             0
‘It’s a very different beast’: Rio Ferdinand calls for ‘long-term thinking’ amid turbulent times at Manchester United          ,https://edition.cnn.com/2024/12/30/sport/rio-ferdinand-manchester-united-globe-soccer-spt/index.html                     ,Sports        ,differ beast rio ferdinand call longterm think amid turbul time manchest unit                        ,             0
‘A whole different wiring system’: the extreme athletes who pushed limits in 2024 – and why they might not be crazy after all  ,https://edition.cnn.com/2024/12/27/sport/extreme-athletes-achievements-2024-spt-intl/index.html                          ,Sports        ,whole differ wire system extrem athlet push limit might crazi                                        ,             0
Why Heisman Trophy winner Travis Hunter is ‘two players in one’ and such a rare talent in college football                     ,https://edition.cnn.com/2024/12/15/sport/travis-hunter-heisman-trophy-college-football-spt-intl/index.html               ,Sports        ,heisman trophi winner travi hunter two player one rare talent colleg footbal                         ,             0
Saudi Arabia officially announced as the 2034 World Cup host. Human rights groups warn of ‘unimaginable human cost’            ,https://edition.cnn.com/2024/12/11/sport/saudi-arabia-2034-world-cup-fifa-bid-spt-intl/index.html                        ,Sports        ,saudi arabia offici announc world cup host human right group warn unimagin human cost                ,             0
Jayden Daniels: The NFL’s No. 2 overall pick is showing the league that he’s much more than a consolation prize                ,https://edition.cnn.com/2024/12/21/sport/jayden-daniels-washington-commanders-profile-spt-intl/index.html                ,Sports        ,jayden daniel nfl overal pick show leagu he much consol prize                                        ,             0
"Meet Roki Sasaki, MLB’s next free agent superstar"                                                                            ,https://edition.cnn.com/2024/12/16/sport/roki-sasaki-free-agent-spt-intl/index.html                                      ,Sports        ,meet roki sasaki mlb next free agent superstar                                                       ,             0
From $245 million bust to Super Bowl contender again: the redemption arc of ‘Mr. Unlimited’ Russell Wilson                     ,https://edition.cnn.com/2024/12/14/sport/russell-wilson-pittsburgh-steelers-redemption-spt-intl/index.html               ,Sports        ,million bust super bowl contend redempt arc mr unlimit russel wilson                                 ,             0
Can the sporty be Godly? Why the Vatican is in the race to become a global sporting presence                                   ,https://edition.cnn.com/2024/11/20/sport/rien-schuurhuis-vatican-cycling-spt-intl/index.html                             ,Sports        ,sporti godli vatican race becom global sport presenc                                                 ,             0
"Lily Yohannes: The 17-year-old star of the US women’s team, by those who know her best"                                       ,https://edition.cnn.com/2024/12/04/sport/lily-yohannes-uswnt-teenage-star-spt-intl/index.html                            ,Sports        ,lili yohann yearold star u women team know best                                                      ,             0
Why James Cook is the NFL’s best running back you haven’t heard of                                                             ,https://edition.cnn.com/2024/12/27/sport/james-cook-bills-best-running-back-spt/index.html                               ,Sports        ,jame cook nfl best run back havent heard                                                             ,             0
Lindsey Vonn set to return to competitive skiing                                                                               ,https://edition.cnn.com/2024/12/19/sport/video/vonn-rebensburg-skiing-cnni-sports-fast                                   ,Sports        ,lindsey vonn set return competit ski                                                                 ,             0
Lewandowski chimes in on former manager Guardiola’s woes                                                                       ,https://edition.cnn.com/2024/12/17/sport/video/lewandowski-guardiola-cnni-sports-fast                                    ,Sports        ,lewandowski chime former manag guardiola woe                                                         ,             0
Scottie Scheffler looks to put a bow on stellar year                                                                           ,https://edition.cnn.com/2024/12/16/sport/video/scheffler-riddell-showdown-cnni-sports-fast-1216                          ,Sports        ,scotti scheffler look put bow stellar year                                                           ,             0
"Lewis Hamilton fulfills childhood dream, pilots fighter jet"                                                                  ,https://edition.cnn.com/2024/11/29/sport/video/hamilton-hosseini-f1-pilot-cnni-sports-fast                               ,Sports        ,lewi hamilton fulfil childhood dream pilot fighter jet                                               ,             0
Sinner & Alcaraz spearheading tennis’ charge into a new era                                                                    ,https://edition.cnn.com/2024/11/12/sport/video/sinner-alcaraz-tennis-atp-cnni-sports-fast                                ,Sports        ,sinner alcaraz spearhead tenni charg new era                                                         ,             0
‘He’s not a dad’: Trinity Rodman on strained relationship with Dennis Rodman                                                   ,https://edition.cnn.com/2024/12/18/sport/video/alex-cooper-trinity-dennis-rodman-call-her-daddy-podcast-digvid           ,Sports        ,he dad triniti rodman strain relationship denni rodman                                               ,             0
Mystics owner Sheila Johnson says WNBA’s success goes beyond Caitlin Clark                                                     ,https://edition.cnn.com/2024/12/13/sport/video/wnba-clark-johnson-davies-cnni-sports-fast                                ,Sports        ,mystic owner sheila johnson say wnba success go beyond caitlin clark                                 ,             0
China sentences former Premier League soccer star to 20 years in prison for corruption                                         ,https://edition.cnn.com/2024/12/13/sport/video/china-everton-corruption-tie-cnni-sports-fast                             ,Sports        ,china sentenc former premier leagu soccer star year prison corrupt                                   ,             0
Does Simone Biles have any more gravity-defying firsts up her sleeve?                                                          ,https://edition.cnn.com/2024/11/01/sport/video/simone-biles-mind-blowing-spc-spt                                         ,Sports        ,simon bile gravitydefi first sleev                                                                   ,             0
South Korean Olympian Kim Yeji shoots her way to stardom                                                                       ,https://edition.cnn.com/2024/10/11/sport/video/south-korea-yeji-olympics-cnni-sports-fast                                ,Sports        ,south korean olympian kim yeji shoot way stardom                                                     ,             0
Vinícius Jr. exclusive: Real Madrid squad will walk off the pitch in face of racist abuse                                      ,https://edition.cnn.com/2024/08/28/sport/video/vinicius-jr-racism-real-madrid-spain-spt-intl                             ,Sports        ,vinciu jr exclus real madrid squad walk pitch face racist abus                                       ,             0
Christmas dinner injury forces golf’s World No. 1 Scottie Scheffler to miss PGA Tour season opener                             ,https://edition.cnn.com/2024/12/27/sport/scottie-scheffler-injury-christmas-dinner-spt/index.html                        ,Sports        ,christma dinner injuri forc golf world scotti scheffler miss pga tour season open                    ,             0
Tiger Woods and son Charlie shine at PNC Championship in Woods’ return to competition                                          ,https://edition.cnn.com/2024/12/21/sport/tiger-woods-son-pnc-championship-spt/index.html                                 ,Sports        ,tiger wood son charli shine pnc championship wood return competit                                    ,             0
The Showdown: Rory McIlroy and Scottie Scheffler cruise to $10M crypto prize                                                   ,https://edition.cnn.com/2024/12/18/sport/showdown-mcilroy-scheffler-pga-liv-golf-spt/index.html                          ,Sports        ,showdown rori mcilroy scotti scheffler cruis crypto prize                                            ,             0
Tiger Woods to compete for first time since back surgery at PNC Championship with son                                          ,https://edition.cnn.com/2024/12/10/sport/tiger-and-charlie-woods-compete-pnc-championship-spt/index.html                 ,Sports        ,tiger wood compet first time sinc back surgeri pnc championship son                                  ,             0
Cristiano Ronaldo backs Manchester City and Real Madrid to return to former glory                                              ,https://edition.cnn.com/2024/12/27/sport/cristiano-ronaldo-globe-soccer-manchester-city-real-madrid-spt/index.html       ,Sports        ,cristiano ronaldo back manchest citi real madrid return former glori                                 ,             0
How Manchester City slumped from all-conquering champion to its worst run of form in 18 years                                  ,https://edition.cnn.com/2024/12/23/sport/manchester-city-aston-villa-spt-intl/index.html                                 ,Sports        ,manchest citi slump allconqu champion worst run form year                                            ,             0
Netflix purchases US broadcasting rights for next two FIFA Women’s World Cups                                                  ,https://edition.cnn.com/2024/12/20/sport/netflix-broadcast-rights-fifa-womens-world-cup-spt/index.html                   ,Sports        ,netflix purchas u broadcast right next two fifa women world cup                                      ,             0
Two-time World Cup winner and former USWNT captain Becky Sauerbrunn announces her retirement                                   ,https://edition.cnn.com/2024/12/18/sport/becky-sauerbrunn-retirement-uswnt-spt/index.html                                ,Sports        ,twotim world cup winner former uswnt captain becki sauerbrunn announc retir                          ,             0
‘Special Ks’ set to reunite for doubles at the Australian Open                                                                 ,https://edition.cnn.com/2024/12/13/sport/nick-kyrgios-thanasi-kokkinakis-australian-open-spt-intl/index.html             ,Sports        ,special k set reunit doubl australian open                                                           ,             0
Australian tennis icon Neale Fraser dies at 91                                                                                 ,https://edition.cnn.com/2024/12/03/sport/neale-fraser-dies-australia-tennis-spt/index.html                               ,Sports        ,australian tenni icon neal fraser dy                                                                 ,             0
Former tennis world No. 1 Simona Halep questions ‘big difference in treatment’ for doping violation compared to Iga Świątek    ,https://edition.cnn.com/2024/11/29/sport/simona-halep-doping-iga-swiatek-tennis-spt-intl/index.html                      ,Sports        ,former tenni world simona halep question big differ treatment dope violat compar iga witek           ,             0
Five-time grand slam winner Iga Świątek suspended after testing positive for prohibited substance                              ,https://edition.cnn.com/2024/11/28/sport/iga-swiatek-substance-ban-tennis-intl-spt/index.html                            ,Sports        ,fivetim grand slam winner iga witek suspend test posit prohibit substanc                             ,             0
NBA suspends three players involved in altercation between Mavericks and Suns                                                  ,https://edition.cnn.com/2024/12/28/sport/nba-suspends-mavericks-and-suns-spt/index.html                                  ,Sports        ,nba suspend three player involv alterc maverick sun                                                  ,             0
Sacramento Kings fire head coach Mike Brown amid early season struggles                                                        ,https://edition.cnn.com/2024/12/27/sport/sacramento-kings-mike-brown-spt/index.html                                      ,Sports        ,sacramento king fire head coach mike brown amid earli season struggl                                 ,             0
California appeals court overturns ex-NFL star Dana Stubblefield’s rape conviction                                             ,https://edition.cnn.com/2024/12/27/sport/dana-stubblefield-rape-conviction-overturned-spt-intl/index.html                ,Sports        ,california appeal court overturn exnfl star dana stubblefield rape convict                           ,             0
Lindsey Vonn thinks her new titanium knee could start a trend in skiing. And pro sports in general                             ,https://edition.cnn.com/2024/12/25/sport/lindsey-vonn-titanium-knee-trend-hnk/index.html                                 ,Sports        ,lindsey vonn think new titanium knee could start trend ski pro sport gener                           ,             0
The best photos from the 2024 NFL season                                                                                       ,https://edition.cnn.com/2024/09/09/sport/gallery/nfl-2024-season/index.html                                              ,Sports        ,best photo nfl season                                                                                ,             0
